country,pisa_mean,pisa_se,pisa_V_W,pisa_V_B,n_pisa,subject,pisa_year,source,cohort_label,piaac_year,piaac_mean,piaac_se,piaac_V_W,piaac_V_B,n_piaac,age_at_piaac
CZE,499.4676509062439,2.460661451201571,5.382025455814674,0.6116630196497721,7019,Numeracy,2018,PISA (age 15),PISA 2018,2023,283.5141596763566,2.065334782703399,3.506194929267275,0.6903753048883831,468,20
DEU,500.04378016676816,2.6470829297683425,6.509223927486676,0.45256737234934097,5451,Numeracy,2018,PISA (age 15),PISA 2018,2023,281.8617679885044,1.5116647729836916,1.8070993781272882,0.4345736434114067,735,20
DNK,509.39837450250303,1.735002353750808,2.6407449075675498,0.3358984181393581,7657,Numeracy,2018,PISA (age 15),PISA 2018,2023,284.2411293709456,1.611305770321481,1.8026849777775826,0.721473916085199,568,20
ESP,481.39261267544606,1.4624177600311083,1.5726760975960103,0.51453600659854,35943,Numeracy,2018,PISA (age 15),PISA 2018,2023,260.30025893304935,2.3110005489015957,3.6564527201718557,1.5311552880469286,363,20
EST,523.4145801349189,1.7436021744650987,2.6075028306367534,0.3933142837842432,5316,Numeracy,2018,PISA (age 15),PISA 2018,2023,289.3671426689052,1.425243988846175,1.120099520493294,0.8283826429535106,878,20
FIN,507.3013618181396,1.967920422650986,3.5531800160395086,0.29048252167938865,5649,Numeracy,2018,PISA (age 15),PISA 2018,2023,302.71892643896365,2.445090332746394,4.724173723167688,1.1402663746565311,261,20
FRA,495.4075814440278,2.320214105479433,4.617569207970006,0.696203897541564,6308,Numeracy,2018,PISA (age 15),PISA 2018,2023,266.68862353079135,0.6419326743049206,0.0322844107925246,0.34526649777067514,1064,20
GBR,501.76989911393133,2.564427936286872,5.964509656922388,0.5561645304419603,13818,Numeracy,2018,PISA (age 15),PISA 2018,2023,283.21744446953124,2.4663187925211716,5.570881111865063,0.4653157040709331,266,20
HUN,481.08263635624513,2.3195967411677416,4.949917616133028,0.39146493227543394,5132,Numeracy,2018,PISA (age 15),PISA 2018,2023,255.44287676780303,1.9838923535654793,3.204787150463591,0.664583381883623,689,20
IRL,499.63289403766834,2.198621074139114,4.003067854640794,0.7553334300071257,5577,Numeracy,2018,PISA (age 15),PISA 2018,2023,275.3472068386178,2.976909461481242,6.910429485529614,1.7741458693881145,231,20
ISR,463.03454892046875,3.4985632467067975,10.400598735039454,1.672132778334686,6623,Numeracy,2018,PISA (age 15),PISA 2018,2023,248.2695177728679,2.3105084924353725,2.8911930377089234,2.22477859627914,820,20
ITA,486.5898580129064,2.7800460370548734,7.22176396699224,0.46081091013842396,11785,Numeracy,2018,PISA (age 15),PISA 2018,2023,261.52218543330986,2.4270750972729003,4.397355396934124,1.3575801189710315,712,20
JPN,526.9732504969696,2.4714753589936964,5.314871989714847,0.7211986003619766,6109,Numeracy,2018,PISA (age 15),PISA 2018,2023,300.4897325898264,1.7201608178885641,1.9942672292592334,0.8769872819452909,668,20
KOR,525.921528659036,3.1198352054291876,9.410624494228749,0.2934065589151198,6650,Numeracy,2018,PISA (age 15),PISA 2018,2023,272.5315827701511,2.125932657034556,2.864757082694851,1.5043932541374136,604,20
LTU,481.19118829456727,1.9532819668024508,1.672094690621657,1.948377955649085,6885,Numeracy,2018,PISA (age 15),PISA 2018,2023,252.8976629980392,3.2385406921214943,8.917308119152048,1.4280342685224723,382,20
NZL,494.4896759792054,1.7059428545391215,2.428833456224967,0.4376432424801087,6173,Numeracy,2018,PISA (age 15),PISA 2018,2023,246.83556754913934,3.3462066138159363,10.224401658614878,0.8842700397551246,1260,20
POL,515.6478746296985,2.602085209761725,6.45124390530428,0.2905486668694912,5625,Numeracy,2018,PISA (age 15),PISA 2018,2023,250.38238849196776,2.147968083696319,3.8291463478456187,0.7132914006658342,423,20
SGP,569.0077798017122,1.6029642059483502,1.059714297222046,1.372527225754163,6676,Numeracy,2018,PISA (age 15),PISA 2018,2023,297.89198237543155,1.5961364832846154,1.6566751281339263,0.8099786773984119,755,20
SVK,486.1648542935569,2.555595678385646,5.611359205401609,0.836100059983439,5965,Numeracy,2018,PISA (age 15),PISA 2018,2023,262.56143284093264,2.8616838188856213,5.101095241170364,2.8073991255467536,453,20
USA,478.24471737720205,3.2354440776229434,10.118187511023441,0.3181007894563062,4838,Numeracy,2018,PISA (age 15),PISA 2018,2023,248.02050378092,1.7008257066686117,2.168885418638409,0.658111514387612,591,20
